Reference,Quantity,Value,Manufacturers Name,Manufacturers Part Number,Mfg #,Part Description,Type,LCSC Part #,Package
AudioIn1 AudioOut1 ,2,AudioJack2_SwitchT,Tayda Electronics,PJ-3001F,PJ-3001F,PJ-3001F 3.5mm Mono Phone Jack,Thru-hole,,
C1 C2 ,2,22uF,YAGEO,CC0805KRX7R9BB104,CC0805KRX7R9BB104,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0805 10% ,Surface mount,C49678,805
C10 C12 C15 C19 ,4,2.2nF,YAGEO,CC0603JRNPO9BN222,CC0603JRNPO9BN222,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 2200pF C0G 0603 5% ,Surface mount,C107043,603
C14 ,1,330nF,YAGEO,CC0603KRX7R8BB334,CC0603KRX7R8BB334,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 0.33uF X7R 0603 10% ,Surface mount,C107070,603
C16 ,1,15nF,YAGEO,AC0603KRX7R0BB153,AC0603KRX7R0BB153,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100 V 0.015 uF X7R 0603 10% AEC-Q200 ,Surface mount,C2210963,603
C20 ,1,4.7nF,YAGEO,CC0603JRX7R9BB472,CC0603JRX7R9BB472,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 4700pF X7R 0603 5% ,Surface mount,C115060,603
C21 ,1,10nF,YAGEO,CC0603JRX7R9BB103,CC0603JRX7R9BB103,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.01uF X7R 0603 5%,Surface mount,C115056,603
C22 ,1,68pF,YAGEO,CC0603GRNPO9BN680,CC0603GRNPO9BN680,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 68 pF C0G 0603 2%,Surface mount,C519457,603
C3 C4 C8 C9 C11 C13 C17 ,7,100nF,YAGEO,CC0603JRX7R9BB104,CC0603JRX7R9BB104,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0603 5% ,Surface mount,C91183,603
C5 ,1,220nF,Murata Electronics,GCM188R71H224KA64D,GCM188R71H224KA64D,Multilayer Ceramic Capacitors MLCC - SMD/SMT .22UF 50V 10% 0603,Surface mount,C97857,603
C6 ,1,47pF,YAGEO,CC0603JRNPO9BN470,CC0603JRNPO9BN470,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 47 pF C0G 0603 5% ,Surface mount,C105622,603
C7 C18 ,2,1uF,Taiyo Yuden,UMK107AB7105KA-T,UMK107AB7105KA-T,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 50VDC 1uF 10% X7R,Surface mount,C105174,603
D1 ,1,3mm_LED,EKINGLUX,EL304RD,EL304RD,3.0mm Round Through Hole LED,Thru-hole,C2856645,
J1 ,1,IDC_2x05,XKB Connectivity ,X9555WV-2X05-6TV01,X9555WV-2X05-6TV01,IDC Connector 2x05 2.54mm Pitch Straight,Thru-hole,C706914,
LEVEL1 REPEATS1 ,2,B10k,Alpha (Taiwan),RD901F-40-15R1-B10K,RD901F-40-15R1-B10K,10K OHM Linear Taper Potentiometer Round Shaft PCB 9mm,Thru-hole,,RD901F
R1 R16 ,2,1M,YAGEO,RC0603FR-071ML,RC0603FR-071ML,Thick Film Resistors - SMD 1 MOhms 100mW 0603 1% ,Surface mount,C105578,603
R18 ,1,68k,YAGEO,RC0603FR-0768KL,RC0603FR-0768KL,Thick Film Resistors - SMD 68 kOhms 100mW 0603 1%,Surface mount,C114633,603
R2 R4 R8 R10 R11 R12 R13 R14 R15 ,9,10k,YAGEO,AC0603FR-0710KL,AC0603FR-0710KL,Thick Film Resistors - SMD 10 kOhms 100mW 0603 1% AEC-Q200 ,Surface mount,C116677,603
R3 R6 R17 R20 R21 ,5,100k,YAGEO,RC0603FR-07100KL,RC0603FR-07100KL,Thick Film Resistors - SMD 100 kOhms 100mW 0603 1%,Surface mount,C14675,603
R5 ,1,2.7k,YAGEO,RC0603FR-072K7L,RC0603FR-072K7L,Thick Film Resistors - SMD 2.7 kOhms 100mW 0603 1% ,Surface mount,C114612,603
R7 R19 ,2,20k,YAGEO,RC0603FR-0720KL,RC0603FR-0720KL,Thick Film Resistors - SMD 20 kOhms 100mW 0603 1%,Surface mount,C105575,603
R9 ,1,1k,YAGEO,RC0603FR-071KL,RC0603FR-071KL,Thick Film Resistors - SMD 1 kOhms 100mW 0603 1% ,Surface mount,C22548,603
TIME1 ,1,B100k,Alpha (Taiwan),RD901F-40-15R1-B100K,RD901F-40-15R1-B100K,100K OHM Linear Taper Potentiometer Round Shaft PCB 9mm,Thru-hole,,RD901F
U1 ,1,TL074,STMicroelectronics,TL074IDT,TL074IDT,Operational Amplifiers - Op Amps Quad Low Noise JFET,Surface mount,C107644,SOIC-14_150mil
U2 ,1,PT2399,PTC(Princeton Tech),PT2399-SN,PT2399-SN ,SOP-16_150mil Audio Interface ICs ROHS,Surface mount,C126407,SOP-16_150mil
U3 ,1,L7805,STMicroelectronics,L7805CDT-TR ,L7805CDT-TR ,62dB@(120Hz) 1.5A 2V@(1A) Fixed 5V~5V Positive 1 35V TO-252-3 Linear Voltage Regulators (LDO) ROHS,Surface mount,C310413,TO-252-3
